COD_OP,NOME_PRODUTO,ESPECIE,SUB_ESPECIE,ID_PRODUTO,COD_BARRAS,DATA_REGISTRO,QTD
168568,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-04-30 14:24:24,1
168568,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 11:14:18,1
168568,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 11:14:29,1
168568,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 11:15:07,1
168568,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 11:15:12,1
168580,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 14:15:27,1
168580,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 14:15:30,1
168580,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 14:15:32,1
168580,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 14:15:35,1
168580,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 17:03:41,1
168580,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 17:03:44,1
168580,ESTOFADO MACEIO 2L - VELUDO PARIS CAMURÇA COR 44- ARTIGO 2911, ESTOFADOS,ESTOFADO 2 LUGARES MARJOM,26821,7899600758571,2025-05-07 17:03:50,1
